## N                         Error

10.00  5.1781495757907692E-016
20.00  9.4455693266937146E-016
30.00  1.1249681741709594E-015
40.00  1.4857906571741353E-015
50.00  1.8466131401773112E-015
60.00  2.2351911987961159E-015
70.00  2.9707139526102821E-015
80.00  3.3454142234212725E-015
#90.00  NaN
100.00  3.7235839411842164E-015  
120.00  4.0956821267812415E-015 
140.00  4.7895715171719644E-015
#150.00  NaN
160.00  5.4834609075626872E-015
#1000.00  NaN
10000.00  3.6064463318930678E-013
#100000.00  NaN
#1000000.00  NaN

